raw_name,normalised_name,wb_node,dataset,country,n,lat_centroid,lon_centroid,wb_group,wb_5km,wb_raw,contrib_group,override
"St. Helena Sound, SC","st. helena sound, sc","st. helena sound, sc",SchallesJ_US_Creighton,United States of America (the),5,32.45702888888888,-80.42628222222223,"wb2:st. helena sound, sc","wb5:ashepoo river, sc","raw:St. Helena Sound, SC",cg:BindingC_CA_ECCC,
"St. Johns River, FL","st. johns river, fl","st. johns river, fl",SchallesJ_US_Creighton,United States of America (the),12,29.754318666666666,-81.66836700277779,"wb2:st. johns river, fl","wb5:doctor's lake, fl","raw:St. Johns River, FL",cg:BindingC_CA_ECCC,
"St. Joseph Bay, FL","st. joseph bay, fl","st. joseph bay, fl",SchallesJ_US_Creighton,United States of America (the),2,29.84380833333335,-85.35163333333335,"wb2:st. joseph bay, fl","wb5:st. joseph bay, fl","raw:St. Joseph Bay, FL",cg:BindingC_CA_ECCC,
"St. Leonard Creek, MD","st. leonard creek, md","st. leonard creek, md",SchallesJ_US_Creighton,United States of America (the),1,38.39433,-76.50338,"wb2:st. leonard creek, md","wb5:atlantic ocean, va","raw:St. Leonard Creek, MD",cg:BindingC_CA_ECCC,
"St. Pierre Creek, SC","st. pierre creek, sc","st. pierre creek, sc",SchallesJ_US_Creighton,United States of America (the),8,32.539446,-80.348539,"wb2:st. pierre creek, sc","wb5:ashepoo river, sc","raw:St. Pierre Creek, SC",cg:BindingC_CA_ECCC,
"St. Simons Sound, GA","st. simons sound, ga","st. simons sound, ga",SchallesJ_US_Creighton,United States of America (the),1,31.1313833333333,-81.3979666666667,"wb2:st. simons sound, ga","wb5:st. simons sound, ga","raw:St. Simons Sound, GA",cg:BindingC_CA_ECCC,
Suwa,suwa,suwa,MatsushitaB_JP_Tsukuba,Japan,9,36.053015431111106,138.08269444444443,wb2:suwa,wb5:suwa,raw:Suwa,cg:MaR_CN_NIGLAS,
Taihu,taihu,taihu,MaR_CN_NIGLAS,China,197,31.235826511167513,120.17655409238579,wb2:taihu,wb5:taihu,raw:Taihu,cg:MaR_CN_NIGLAS,
Te Anau,te anau,te anau,LehmannMK_NZ_UOW_NZ_LK,New Zealand,3,-45.34772933333333,167.70075466666665,wb2:te anau,wb5:te anau,raw:Te Anau,cg:LehmannMK_NZ_UOW_NZ_LK,
Te Koutu,te koutu,te koutu,LehmannMK_NZ_UOW_NZ_LK,New Zealand,1,-37.889,175.469984,wb2:te koutu,wb5:te koutu,raw:Te Koutu,cg:LehmannMK_NZ_UOW_NZ_LK,
Terradets,terradets,terradets,Ruiz-VerduA_ES_UVEG-CEDEX,Spain,2,42.06906819654015,0.890534728588736,wb2:terradets,wb5:terradets,raw:Terradets,cg:Ruiz-VerduA_ES_UVEG-CEDEX,
Theewaterskloof,theewaterskloof,theewaterskloof,MatthewsM_ZA_UCT,South Africa,10,-34.029,19.209,wb2:theewaterskloof,wb5:theewaterskloof,raw:Theewaterskloof,cg:KravitzJ_ZA_UCT,
Tokyo Bay,tokyo bay,tokyo bay,HigaH_JP_YNU,Japan,70,35.55742854285714,139.9133056142857,wb2:tokyo bay,wb5:tokyo bay,raw:Tokyo Bay,cg:HigaH_JP_YNU,
Trasimeno,trasimeno,trasimeno,GiardinoC_IT_CNR-IREA,Italy,28,43.12997575000001,12.128899797619045,wb2:trasimeno,wb5:trasimeno,raw:Trasimeno,cg:GiardinoC_IT_CNR-IREA,
