label,target,order,eval_set,k,score,variant,alpha,n_seeds,mean_cov,sd_cov,mean_n_wb,inf_rate
exploratory,Chla,random,per_k,20,cqr,global,0.1,20,0.9094253516461377,0.05614781714039007,7.55,0.0
exploratory,Chla,random,per_k,20,cqr,hybrid,0.1,20,0.9025978885803454,0.03731514819433288,7.55,0.0
exploratory,Chla,random,per_k,20,cqr,local,0.1,20,0.9025978885803454,0.03731514819433288,7.55,0.0
exploratory,Chla,random,per_k,20,scp,augment,0.1,20,0.9186844995630722,0.04372515864080221,7.55,0.0
exploratory,Chla,random,per_k,20,scp,global,0.1,20,0.9035226400195429,0.05498430850605039,7.55,0.0
exploratory,Chla,random,per_k,20,scp,hybrid,0.1,20,0.8977119451983369,0.03356772819926177,7.55,0.0
exploratory,Chla,random,per_k,20,scp,local,0.1,20,0.8977119451983369,0.03356772819926177,7.55,0.0
exploratory,TSS,earliest,common,0,cqr,augment,0.1,20,0.9211697393892123,0.049695472609548694,7.2,0.0
exploratory,TSS,earliest,common,0,cqr,global,0.1,20,0.9211697393892123,0.049695472609548694,7.2,0.0
exploratory,TSS,earliest,common,0,cqr,hybrid,0.1,20,0.9211697393892123,0.049695472609548694,7.2,0.0
exploratory,TSS,earliest,common,0,cqr,local,0.1,20,1.0,0.0,7.2,1.0
exploratory,TSS,earliest,common,0,scp,augment,0.1,20,0.904375072590485,0.07056279851329866,7.2,0.0
exploratory,TSS,earliest,common,0,scp,global,0.1,20,0.904375072590485,0.07056279851329866,7.2,0.0
exploratory,TSS,earliest,common,0,scp,hybrid,0.1,20,0.904375072590485,0.07056279851329866,7.2,0.0
exploratory,TSS,earliest,common,0,scp,local,0.1,20,1.0,0.0,7.2,1.0
exploratory,TSS,earliest,common,1,cqr,augment,0.1,20,0.9231570989397742,0.047057496832076516,7.2,0.0
exploratory,TSS,earliest,common,1,cqr,global,0.1,20,0.9211697393892123,0.049695472609548694,7.2,0.0
exploratory,TSS,earliest,common,1,cqr,hybrid,0.1,20,0.9231570989397742,0.047057496832076516,7.2,0.0
exploratory,TSS,earliest,common,1,cqr,local,0.1,20,1.0,0.0,7.2,1.0
exploratory,TSS,earliest,common,1,scp,augment,0.1,20,0.906627222177123,0.06752470801946694,7.2,0.0
exploratory,TSS,earliest,common,1,scp,global,0.1,20,0.904375072590485,0.07056279851329866,7.2,0.0
exploratory,TSS,earliest,common,1,scp,hybrid,0.1,20,0.906627222177123,0.06752470801946694,7.2,0.0
exploratory,TSS,earliest,common,1,scp,local,0.1,20,1.0,0.0,7.2,1.0
exploratory,TSS,earliest,common,2,cqr,augment,0.1,20,0.9231570989397742,0.047057496832076516,7.2,0.0
exploratory,TSS,earliest,common,2,cqr,global,0.1,20,0.9211697393892123,0.049695472609548694,7.2,0.0
exploratory,TSS,earliest,common,2,cqr,hybrid,0.1,20,0.9231570989397742,0.047057496832076516,7.2,0.0
exploratory,TSS,earliest,common,2,cqr,local,0.1,20,1.0,0.0,7.2,1.0
exploratory,TSS,earliest,common,2,scp,augment,0.1,20,0.9071754922664088,0.06746947458332295,7.2,0.0
exploratory,TSS,earliest,common,2,scp,global,0.1,20,0.904375072590485,0.07056279851329866,7.2,0.0
exploratory,TSS,earliest,common,2,scp,hybrid,0.1,20,0.9071754922664088,0.06746947458332295,7.2,0.0
exploratory,TSS,earliest,common,2,scp,local,0.1,20,1.0,0.0,7.2,1.0
exploratory,TSS,earliest,common,5,cqr,augment,0.1,20,0.9264411225844364,0.047439521108886135,7.2,0.0
exploratory,TSS,earliest,common,5,cqr,global,0.1,20,0.9211697393892123,0.049695472609548694,7.2,0.0
exploratory,TSS,earliest,common,5,cqr,hybrid,0.1,20,0.9264411225844364,0.047439521108886135,7.2,0.0
exploratory,TSS,earliest,common,5,cqr,local,0.1,20,1.0,0.0,7.2,1.0
exploratory,TSS,earliest,common,5,scp,augment,0.1,20,0.9095758112456751,0.06586522942524616,7.2,0.0
exploratory,TSS,earliest,common,5,scp,global,0.1,20,0.904375072590485,0.07056279851329866,7.2,0.0
exploratory,TSS,earliest,common,5,scp,hybrid,0.1,20,0.9095758112456751,0.06586522942524616,7.2,0.0
exploratory,TSS,earliest,common,5,scp,local,0.1,20,1.0,0.0,7.2,1.0
exploratory,TSS,earliest,common,10,cqr,augment,0.1,20,0.9211250141010142,0.049892126371346185,7.2,0.0
exploratory,TSS,earliest,common,10,cqr,global,0.1,20,0.9211697393892123,0.049695472609548694,7.2,0.0
exploratory,TSS,earliest,common,10,cqr,hybrid,0.1,20,0.8166226534416193,0.07932291390340793,7.2,0.0
exploratory,TSS,earliest,common,10,cqr,local,0.1,20,0.8166226534416193,0.07932291390340793,7.2,0.0
exploratory,TSS,earliest,common,10,scp,augment,0.1,20,0.9076288291627588,0.06448647612646581,7.2,0.0
exploratory,TSS,earliest,common,10,scp,global,0.1,20,0.904375072590485,0.07056279851329866,7.2,0.0
exploratory,TSS,earliest,common,10,scp,hybrid,0.1,20,0.8285789803398995,0.060435507330906316,7.2,0.0
exploratory,TSS,earliest,common,10,scp,local,0.1,20,0.8285789803398995,0.060435507330906316,7.2,0.0
